year,openalex_id,title,source,cited_by_count,note,decision
1800,https://openalex.org/W3194025661,Let's Keep it That Way @ Root Signals,,0,obvious malformed/non-scholarly false hit,ignore
1801,https://openalex.org/W3024112564,A Case of Synocha.,PubMed,0,unrelated medicine/natural science/engineering,ignore
1827,https://openalex.org/W2042025359,"On grinding and polishing lenses, for optical purposes",Journal of the Franklin Institute,0,unrelated medicine/natural science/engineering,ignore
1836,https://openalex.org/W2043597042,ON THE EXISTENCE OF NERVOUS INDUCTION IN FUNCTIONAL PROCESSES.,The Lancet,1,"plausible nervous-system, psychology, or learning prehistory",keep
1838,https://openalex.org/W2496959950,"On induction, continued ; Nature of the electrical current",The Royal Society eBooks,0,no clear link to neural-network prehistory in title/source,ignore
1843,https://openalex.org/W4229765896,NEW MEANS OF TESTING BUFFY BLOOD.,The Lancet,0,unrelated medicine/natural science/engineering,ignore
1845,https://openalex.org/W2001706764,On the causes of the great Versailles railway accident,Journal of the Franklin Institute,0,unrelated medicine/natural science/engineering,ignore
1845,https://openalex.org/W2033215375,ON THE LAW OF ASSOCIATION BETWEEN SENTIENT AND MOTOR NERVES.,The Lancet,0,"plausible nervous-system, psychology, or learning prehistory",keep
1845,https://openalex.org/W4239292221,Sull'induzione elettro-statica,Il Cimento,0,no clear link to neural-network prehistory in title/source,ignore
1846,https://openalex.org/W2066114672,"ON MEMORY, ITS INFLUENCE AND IMPORTANCE AS A SOURCE OF ACTION IN ANIMALS.",The Lancet,0,"plausible nervous-system, psychology, or learning prehistory",keep
1846,https://openalex.org/W4214542594,Use of madder in dyeing,Journal of the Franklin Institute,0,unrelated medicine/natural science/engineering,ignore
1847,https://openalex.org/W4254906225,Shearing Machines,Scientific American,0,unrelated medicine/natural science/engineering,ignore
1848,https://openalex.org/W4242521424,ON THE ELECTRIC FLUID.,The Lancet,0,unrelated medicine/natural science/engineering,ignore
1849,https://openalex.org/W4241606878,Meterological Knowledge,Scientific American,0,"plausible logic, computation, circuit, or network prehistory",keep
1849,https://openalex.org/W2000385380,Report on R. E. Monaghan's apparatus for recording the ayes and nays in legislative assemblies,Journal of the Franklin Institute,0,no clear link to neural-network prehistory in title/source,ignore
