layer,fetch_mode,year,in_model_window,work_pages,work_records,work_exhausted,abstract_pages,abstract_records,abstracts_seen,abstract_pull_complete,count_saved,count_works
core_nn,works,1800,False,1,1,True,1,1,0,True,False,
core_nn,works,1801,False,1,1,True,1,1,0,True,False,
core_nn,works,1802,False,0,0,,0,0,0,,False,
core_nn,works,1803,False,0,0,,0,0,0,,False,
core_nn,works,1804,False,0,0,,0,0,0,,False,
core_nn,works,1805,False,0,0,,0,0,0,,False,
core_nn,works,1806,False,0,0,,0,0,0,,False,
core_nn,works,1807,False,0,0,,0,0,0,,False,
core_nn,works,1808,False,0,0,,0,0,0,,False,
core_nn,works,1809,False,0,0,,0,0,0,,False,
core_nn,works,1810,False,0,0,,0,0,0,,False,
core_nn,works,1811,False,0,0,,0,0,0,,False,
core_nn,works,1812,False,0,0,,0,0,0,,False,
core_nn,works,1813,False,0,0,,0,0,0,,False,
core_nn,works,1814,False,0,0,,0,0,0,,False,
core_nn,works,1815,False,0,0,,0,0,0,,False,
core_nn,works,1816,False,0,0,,0,0,0,,False,
core_nn,works,1817,False,0,0,,0,0,0,,False,
core_nn,works,1818,False,0,0,,0,0,0,,False,
core_nn,works,1819,False,0,0,,0,0,0,,False,
core_nn,works,1820,False,0,0,,0,0,0,,False,
core_nn,works,1821,False,0,0,,0,0,0,,False,
core_nn,works,1822,False,0,0,,0,0,0,,False,
core_nn,works,1823,False,0,0,,0,0,0,,False,
core_nn,works,1824,False,0,0,,0,0,0,,False,
core_nn,works,1825,False,0,0,,0,0,0,,False,
core_nn,works,1826,False,0,0,,0,0,0,,False,
core_nn,works,1827,False,1,1,True,1,1,0,True,False,
core_nn,works,1828,False,0,0,,0,0,0,,False,
core_nn,works,1829,False,0,0,,0,0,0,,False,
core_nn,works,1830,False,0,0,,0,0,0,,False,
core_nn,works,1831,False,0,0,,0,0,0,,False,
core_nn,works,1832,False,0,0,,0,0,0,,False,
core_nn,works,1833,False,0,0,,0,0,0,,False,
core_nn,works,1834,False,0,0,,0,0,0,,False,
core_nn,works,1835,False,0,0,,0,0,0,,False,
core_nn,works,1836,False,1,1,True,1,1,0,True,False,
core_nn,works,1837,False,0,0,,0,0,0,,False,
core_nn,works,1838,False,1,1,True,1,1,0,True,False,
core_nn,works,1839,False,0,0,,0,0,0,,False,
core_nn,works,1840,False,0,0,,0,0,0,,False,
core_nn,works,1841,False,0,0,,0,0,0,,False,
core_nn,works,1842,False,0,0,,0,0,0,,False,
core_nn,works,1843,False,1,1,True,1,1,0,True,False,
core_nn,works,1844,False,0,0,,0,0,0,,False,
core_nn,works,1845,False,1,3,True,1,3,0,True,False,
core_nn,works,1846,False,1,2,True,1,2,0,True,False,
core_nn,works,1847,False,1,1,True,1,1,0,True,False,
core_nn,works,1848,False,1,1,True,1,1,0,True,False,
core_nn,works,1849,False,1,2,True,1,2,0,True,False,
core_nn,works,1850,False,0,0,,0,0,0,,False,
